id:ID(EVENT),event_type,type,event_subtype,publish_time,Entity_type
a09a2b606239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a2ba2a239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a3d8d8239111eb94400242ac110010,transaction,event,transfer_money,1602345600,event
a09a52008239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a5236e239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a52580239111eb94400242ac110010,business,event,start_org,1602345600,event
a09a5277e239111eb94400242ac110010,business,event,merge_org,1602345600,event
a09a5294a239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a52ae4239111eb94400242ac110010,justice,event,charge_indict,1602345600,event
a09a52ca6239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a52df0239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a52f94239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a5312e239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a72d6c239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a73118239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a7337a239111eb94400242ac110010,justice,event,sue,1602345600,event
a09a735a0239111eb94400242ac110010,justice,event,charge_indict,1602345600,event
a09a73780239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a739ec239111eb94400242ac110010,contact,event,meet,1602345600,event
a09a73c76239111eb94400242ac110010,contact,event,meet,1602345600,event
a09ae6438239111eb94400242ac110010,life,event,die,1602345600,event
a09ae6cf8239111eb94400242ac110010,life,event,die,1602345600,event
a09ae6eec239111eb94400242ac110010,life,event,die,1602345600,event
a09ae7086239111eb94400242ac110010,life,event,die,1602345600,event
a09af7102239111eb94400242ac110010,life,event,die,1602345600,event
a09b41c98239111eb94400242ac110010,contact,event,meet,1602345600,event
a09b42a09e239111eb94400242ac110010,life,event,marry,1602345600,event
a09b42364239111eb94400242ac110010,conflict,event,attack,1602345600,event
a09b42508239111eb94400242ac110010,life,event,marry,1602345600,event
a09b42760239111eb94400242ac110010,conflict,event,attack,1602345600,event
a09b42922239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b42ac6239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b42cc4239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b42e86239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b42ff8239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b4320a239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a09b4341c239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b4361a239111eb94400242ac110010,life,event,die,1602345600,event
a09b43854239111eb94400242ac110010,contact,event,meet,1602345600,event
a09b43976239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b43b24239111eb94400242ac110010,conflict,event,attack,1602345600,event
a09b43f0c239111eb94400242ac110010,conflict,event,attack,1602345600,event
a09b4429a239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b44448239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b44826239111eb94400242ac110010,contact,event,meet,1602345600,event
a09b44a4c239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a09b44bf0239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b44e52239111eb94400242ac110010,movement,event,transport,1602345600,event
