id:ID(LINK),type,e_type,ts,from:START_ID,to:END_ID,from_type,to_type
eveent0b75fec0239111eb94400242ac110010,包含,0,0,0aeb6f6c239111eb94400242ac110010,Q29934840,event,entity
eveent0b7601e0239111eb94400242ac110010,包含,0,0,0aeb7142239111eb94400242ac110010,Q29934840,event,entity
eveent0b7604f6239111eb94400242ac110010,包含,0,0,0aeb7368239111eb94400242ac110010,Q29934840,event,entity
eveent0b7658fc239111eb94400242ac110010,包含,0,0,0af566c0239111eb94400242ac110010,Q29934840,event,entity
eveent0b766144239111eb94400242ac110010,包含,0,0,0af5699a239111eb94400242ac110010,Q29934840,event,entity
eveent0b76b928239111eb94400242ac110010,包含,0,0,0afc3a18239111eb94400242ac110010,Q29934840,event,entity
eveent0b76bcca239111eb94400242ac110010,包含,0,0,0afc3c7a239111eb94400242ac110010,Q29934840,event,entity
eveent0b76ca09e239111eb94400242ac110010,包含,0,0,0afc3de2239111eb94400242ac110010,Q29934840,event,entity
eveent0b76c3e6239111eb94400242ac110010,包含,0,0,0afc403a239111eb94400242ac110010,Q29934840,event,entity
eveent0b771c10239111eb94400242ac110010,包含,0,0,0b016be6239111eb94400242ac110010,Q29934840,event,entity
eveent0b7720ca239111eb94400242ac110010,包含,0,0,0b017000239111eb94400242ac110010,Q29934840,event,entity
eveent0b77360a239111eb94400242ac110010,包含,0,0,0b02581c239111eb94400242ac110010,Q29934840,event,entity
eveent0b7739a2239111eb94400242ac110010,包含,0,0,0b025baa239111eb94400242ac110010,Q29934840,event,entity
eveent0b7789f2239111eb94400242ac110010,包含,0,0,0b0af8dc239111eb94400242ac110010,Q29934840,event,entity
wzngiy4352ee5411f111ebabda0242ac110010,包含,0,0,42a40c4a11f111ebabda0242ac110010,Q163457,document,entity
hr6npm4346d66411f111ebabda0242ac110010,包含,0,0,42569b7c11f111ebabda0242ac110010,Q10897921,document,entity
hpuqdr0b43d864239111eb94400242ac110010,包含,0,0,0a928afa239111eb94400242ac110010,Q126488,document,entity
1qgtx7434f1d7411f111ebabda0242ac110010,包含,0,0,428901f211f111ebabda0242ac110010,Q132956,document,entity
cla5yt0b3ec81a239111eb94400242ac110010,包含,0,0,0a6bd928239111eb94400242ac110010,Q1329619,document,entity
5yxijn0b4507e8239111eb94400242ac110010,包含,0,0,0a992b4e239111eb94400242ac110010,Q1329619,document,entity
x6zmve0b5610c4239111eb94400242ac110010,包含,0,0,0b0e5900239111eb94400242ac110010,Q1329619,document,entity
eveent0b716bd0239111eb94400242ac110010,包含,0,0,0a9a7238239111eb94400242ac110010,Q1329619,event,entity
eveent0b7171d4239111eb94400242ac110010,包含,0,0,0a9a75ee239111eb94400242ac110010,Q1329619,event,entity
2exeqo0b2e13a8239111eb94400242ac110010,包含,0,0,a09fc051c239111eb94400242ac110010,Q484151,document,entity
eveent0b61dbfc239111eb94400242ac110010,包含,0,0,a09fc9e6e239111eb94400242ac110010,Q484151,event,entity
eveent0b61e192239111eb94400242ac110010,包含,0,0,a09fca242239111eb94400242ac110010,Q484151,event,entity
rkx8cw0b2632b4239111eb94400242ac110010,包含,0,0,a09ca71a0239111eb94400242ac110010,Q76,document,entity
wpxde14353cb4e11f111ebabda0242ac110010,包含,0,0,42a9830011f111ebabda0242ac110010,Q7600514,document,entity
ohu1kr4343d2fc11f111ebabda0242ac110010,包含,0,0,4245ace011f111ebabda0242ac110010,Q7680456,document,entity
tanehw0b3a8a02239111eb94400242ac110010,包含,0,0,0a4e82ce239111eb94400242ac110010,Q7680491,document,entity
dlnsfo0b43c874239111eb94400242ac110010,包含,0,0,0a928afa239111eb94400242ac110010,Q7680491,document,entity
xvygcx0b4e6d06239111eb94400242ac110010,包含,0,0,0adb8250239111eb94400242ac110010,Q7680491,document,entity
eveent0b714ef2239111eb94400242ac110010,包含,0,0,0a936574239111eb94400242ac110010,Q7680491,event,entity
eveent0b75018c239111eb94400242ac110010,包含,0,0,0add7e34239111eb94400242ac110010,Q7680491,event,entity
pjqhdd43467c1e11f111ebabda0242ac110010,包含,0,0,4254b5d211f111ebabda0242ac110010,Q34,document,entity
jlh5yg0b19e568239111eb94400242ac110010,包含,0,0,a0975add2239111eb94400242ac110010,Q34,document,entity
